run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
2,1,1,1,1,1,0,15,15,15,122.334341,122.866935,122.533480,11.3074,12.9441,110488,0,97.9354
3,1,1,1,1,1,0,15,15,15,122.345931,122.950740,122.557115,11.2819,13.0246,110334,0,97.9344
1,1,1,1,1,1,0,15,15,31,122.472544,123.058012,77.230740,11.3433,12.8834,110637,0,97.9184
2,1,1,1,1,1,0,15,15,31,122.470976,123.004955,77.273730,11.1987,12.9316,110708,0,97.9160
3,1,1,1,1,1,0,15,15,31,122.512468,123.036835,77.256663,11.3183,13.1127,110700,0,97.9277
1,1,1,1,1,1,0,15,31,0,83.371773,83.879864,120.178679,11.2715,12.9647,110766,0,98.5357
2,1,1,1,1,1,0,15,31,0,83.371767,83.894399,119.988102,11.366,13.0863,110997,0,98.5515
3,1,1,1,1,1,0,15,31,0,83.364560,84.011279,120.196036,10.9904,12.6178,110536,0,98.5451
1,1,1,1,1,1,0,15,31,15,122.428973,84.063921,122.537464,11.5254,12.9854,110348,0,97.9307
2,1,1,1,1,1,0,15,31,15,122.449053,84.002831,122.512024,11.2872,13.2034,110297,0,97.9252
3,1,1,1,1,1,0,15,31,15,122.358863,83.980235,122.489594,11.2177,13.1059,110407,0,97.9353
1,1,1,1,1,1,0,15,31,31,126.804350,84.141881,83.532134,10.6796,13.2601,110881,0,89.5606
2,1,1,1,1,1,0,15,31,31,126.843755,84.038334,83.596175,10.9436,13.1404,110863,0,89.5851
3,1,1,1,1,1,0,15,31,31,126.822214,83.995714,83.480865,10.8123,13.1009,110744,0,89.6516
1,1,1,1,1,1,0,31,0,0,77.089246,123.022566,122.505582,10.8124,13.0184,110554,0,97.9589
2,1,1,1,1,1,0,31,0,0,77.072499,122.882398,122.462118,11.3369,12.9722,110506,0,97.9169
3,1,1,1,1,1,0,31,0,0,77.142982,122.907546,122.534568,10.8865,13.093,110761,0,97.9629
1,1,1,1,1,1,0,31,0,15,70.723667,120.087905,70.892743,11.3982,13.0874,110682,0,98.5474
2,1,1,1,1,1,0,31,0,15,70.715988,120.109975,70.874253,11.4014,13.0422,110598,0,98.5552
3,1,1,1,1,1,0,31,0,15,70.755421,120.177948,70.886359,11.3479,13.1052,110572,0,98.5457
1,1,1,1,1,1,0,31,0,31,70.901243,120.148368,70.804189,11.127,13.0573,110979,0,98.5530
2,1,1,1,1,1,0,31,0,31,70.746517,120.273041,70.867574,11.1561,13.0419,110899,0,98.5557
3,1,1,1,1,1,0,31,0,31,70.739651,120.058622,70.847832,11.353,13.1023,110606,0,98.5544
1,1,1,1,1,1,0,31,15,0,83.401468,84.026041,119.976486,11.0587,12.9855,110778,0,98.5588
2,1,1,1,1,1,0,31,15,0,83.348806,83.799992,120.094827,11.2695,12.9397,110965,0,98.5183
3,1,1,1,1,1,0,31,15,0,83.298903,83.870054,120.084116,11.2694,13.0995,110695,0,98.5317
1,1,1,1,1,1,0,31,15,15,77.104708,122.870304,122.386789,11.3096,12.9829,111169,0,97.9301
2,1,1,1,1,1,0,31,15,15,77.216678,122.969238,122.442456,10.9188,13.155,110621,0,97.9629
3,1,1,1,1,1,0,31,15,15,77.085838,122.859351,122.431312,11.2721,13.0047,110523,0,97.9317
1,1,1,1,1,1,0,31,15,31,70.738013,120.096376,70.882839,11.3832,12.9545,110558,0,98.5434
2,1,1,1,1,1,0,31,15,31,70.712074,120.076074,70.864603,11.3895,12.8948,110555,0,98.5624
3,1,1,1,1,1,0,31,15,31,70.972080,120.146728,70.944704,11.145,12.9816,110652,0,98.5770
1,1,1,1,1,1,0,31,31,0,83.379646,83.912514,120.029378,11.3552,12.9418,110583,0,98.5264
2,1,1,1,1,1,0,31,31,0,83.368364,83.807245,119.952591,11.3513,13.0987,110938,0,98.5194
3,1,1,1,1,1,0,31,31,0,83.498194,83.899438,120.024215,11.2145,13.1754,110588,0,98.5334
1,1,1,1,1,1,0,31,31,15,83.344999,83.907085,120.132357,11.2742,13.0097,110672,0,98.5397
2,1,1,1,1,1,0,31,31,15,83.323300,83.902976,120.051987,11.3222,12.959,110512,0,98.5318
3,1,1,1,1,1,0,31,31,15,83.297622,83.788658,120.010519,11.4702,13.0661,110933,0,98.5363
1,1,1,1,1,1,0,31,31,31,122.371743,122.890072,122.539768,11.2783,12.8889,110461,0,97.9234
2,1,1,1,1,1,0,31,31,31,122.348603,122.906042,122.514475,11.2787,12.9997,110364,0,97.9219
3,1,1,1,1,1,0,31,31,31,122.351920,122.916049,122.594245,11.4146,13.1945,110381,0,97.9227
