use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,context_switches,npu_percent,hrtt_networks,hrtt_switches_per_sec,hrtt_idle_time_pct,hrtt_run_time_sec,det_avg_fps,det_device_usage_pct,det_sched_threshold_pct,det_sched_timeout_pct,det_sched_idle_pct,det_avg_latency_ms,det_max_latency_ms,det_activation_ms,det_deactivation_ms,seg_avg_fps,seg_device_usage_pct,seg_sched_threshold_pct,seg_sched_timeout_pct,seg_sched_idle_pct,seg_avg_latency_ms,seg_max_latency_ms,seg_activation_ms,seg_deactivation_ms,pose_avg_fps,pose_device_usage_pct,pose_sched_threshold_pct,pose_sched_timeout_pct,pose_sched_idle_pct,pose_avg_latency_ms,pose_max_latency_ms,pose_activation_ms,pose_deactivation_ms,
1,1,1,1,1,0,0,15,31,126.833028,83.762488,83.117568,12.3044,12.8134,1966223,89.2676,3,19.147,0.001,29.613,0.034,0.131,100.0,100.0,0.0,33.144,33.144,0.336,0,9.556,55.637,100.0,100.0,0.0,43.773,51.996,0.584,0,9.556,44.23,100.0,100.0,0.0,32.425,35.453,0.576,0,
1,1,1,1,1,0,0,31,0,122.039017,83.600365,122.0219,12.6446,12.8953,1970794,97.933,3,19.728,0.001,29.602,4.932,20.869,100.0,100.0,0.0,33.184,33.963,0.549,0,9.83,56.615,100.0,100.0,0.0,43.36,50.993,0.592,0,4.932,22.514,100.0,100.0,0.0,32.183,34.472,0.579,0,
1,1,1,1,1,0,0,31,15,126.780938,83.598451,83.096473,12.3317,12.86,1972371,89.2896,3,19.211,0.001,29.618,,,,,,,,,,9.589,55.768,100.0,100.0,0.0,43.798,52.647,0.575,0,9.589,44.231,100.0,100.0,0.0,32.374,35.15,0.571,0,
1,1,1,1,1,0,0,31,31,126.84563,83.646441,83.141838,12.2213,12.8654,1952039,89.2491,3,19.176,0.003,29.621,,,,,,,,,,9.588,55.791,100.0,100.0,0.0,43.592,51.721,0.578,0,9.554,44.206,100.0,100.0,0.0,32.375,35.447,0.573,0,
1,1,1,1,1,0,15,0,0,76.73045,122.452956,121.946448,12.6596,12.8377,1983434,97.9214,3,21.46,0.001,29.589,10.713,45.064,100.0,100.0,0.0,33.222,35.374,0.563,0,5.374,30.7,100.0,100.0,0.0,43.604,50.059,0.597,0,5.34,24.235,100.0,100.0,0.0,32.24,34.87,0.606,0,
1,1,1,1,1,0,15,0,15,70.514482,119.855017,70.402288,12.5753,12.9479,1933756,98.5391,3,22.774,0.001,29.595,11.353,48.063,100.0,100.0,0.0,33.169,35.62,0.566,0,,,,,,,,,,11.387,51.936,100.0,100.0,0.0,32.248,36.016,0.597,0,
1,1,1,1,1,0,15,0,31,70.360953,119.730647,70.299856,12.875,12.8602,1902688,98.5159,3,22.858,0.001,29.617,11.412,48.009,100.0,100.0,0.0,33.16,35.229,0.569,0,,,,,,,,,,11.412,51.989,100.0,100.0,0.0,32.062,34.677,0.613,0,
1,1,1,1,1,0,15,15,0,82.907797,83.371704,119.542472,12.5551,13.0317,1933494,98.5415,3,20.439,0.001,29.6,10.237,42.554,100.0,100.0,0.0,33.094,35.004,0.569,0,10.203,57.445,100.0,100.0,0.0,43.298,49.527,0.617,0,,,,,,,,,,
1,1,1,1,1,0,15,15,15,121.966295,122.535805,122.066251,12.7594,12.8908,1990430,97.9071,3,20.557,0.003,29.577,6.864,29.136,100.0,100.0,0.0,33.229,35.736,0.577,0,6.83,39.528,100.0,100.0,0.0,43.51,50.499,0.589,0,6.83,31.333,100.0,100.0,0.0,32.39,34.807,0.568,0,
1,1,1,1,1,0,15,15,31,122.095449,122.613054,76.769452,12.6828,12.8309,1972355,97.9002,3,20.767,0.003,29.614,5.2,22.094,100.0,100.0,0.0,33.226,34.757,0.548,0,5.2,30.121,100.0,100.0,0.0,43.67,50.232,0.581,0,10.367,47.783,100.0,100.0,0.0,32.304,35.454,0.583,0,
1,1,1,1,1,0,15,31,0,82.9677,83.450371,119.644373,12.4477,12.9012,1933219,98.5509,3,20.426,0.003,29.619,10.196,42.502,100.0,100.0,0.0,33.122,35.379,0.563,0,10.196,57.494,100.0,100.0,0.0,43.106,48.85,0.611,0,,,,,,,,,,
1,1,1,1,1,0,15,31,15,122.02337,83.59041,122.007707,12.7429,12.8364,1992995,97.9152,3,19.65,0.001,29.567,4.904,20.774,100.0,100.0,0.0,33.179,35.183,0.546,0,9.808,56.652,100.0,100.0,0.0,43.611,49.722,0.601,0,4.904,22.573,100.0,100.0,0.0,32.232,34.746,0.591,0,
1,1,1,1,1,0,15,31,31,126.797058,83.628548,83.144055,12.2067,12.7658,1944272,89.2508,3,19.216,0.001,29.611,,,,,,,,,,9.591,55.7,100.0,100.0,0.0,43.622,50.81,0.575,0,9.625,44.299,100.0,100.0,0.0,32.343,35.336,0.571,0,
1,1,1,1,1,0,31,0,0,76.661313,122.333422,121.938813,12.9617,12.9703,2055067,97.9222,3,21.407,0.002,29.616,10.704,45.038,100.0,100.0,0.0,33.178,35.201,0.572,0,5.335,30.588,100.0,100.0,0.0,43.561,51.163,0.597,0,5.369,24.373,100.0,100.0,0.0,32.385,37.457,0.603,0,
1,1,1,1,1,0,31,0,15,70.332237,119.636667,70.492169,12.6159,12.9742,1923747,98.5516,3,22.99,0.001,29.578,11.495,48.229,100.0,100.0,0.0,33.217,35.414,0.561,0,,,,,,,,,,11.461,51.771,100.0,100.0,0.0,32.192,34.866,0.596,0,
1,1,1,1,1,0,31,0,31,70.382141,119.580395,70.322025,12.9369,12.8583,1921520,98.5455,3,22.913,0.001,29.59,11.423,48.076,100.0,100.0,0.0,33.2,34.891,0.568,0,,,,,,,,,,11.456,51.923,100.0,100.0,0.0,32.327,34.678,0.595,0,
1,1,1,1,1,0,31,15,0,82.92327,83.472631,119.556598,12.8184,12.9135,1950598,98.5254,3,20.427,0.002,29.618,10.196,42.428,100.0,100.0,0.0,33.194,35.234,0.565,0,10.196,57.439,100.0,100.0,0.0,43.209,50.011,0.609,0,0.034,0.131,100.0,100.0,0.0,31.083,31.083,0.468,0,
1,1,1,1,1,0,31,15,15,76.698401,122.470049,121.954467,12.657,12.9424,1994596,97.9138,3,21.451,0.001,29.602,10.709,45.041,100.0,100.0,0.0,33.216,35.718,0.566,0,5.371,30.743,100.0,100.0,0.0,43.309,49.885,0.597,0,5.337,24.215,100.0,100.0,0.0,32.234,34.895,0.61,0,
1,1,1,1,1,0,31,15,31,70.322591,119.63447,70.342629,12.911,12.8426,1933692,98.5421,3,22.964,0.002,29.612,11.482,48.123,100.0,100.0,0.0,33.233,35.286,0.574,0,0.034,0.173,100.0,100.0,0.0,41.286,41.286,0.463,0,11.448,51.702,100.0,100.0,0.0,32.139,34.785,0.617,0,
1,1,1,1,1,0,31,31,0,83.052459,83.520633,119.704426,12.453,13.01,1948056,98.535,3,20.31,0.001,29.591,10.138,42.364,100.0,100.0,0.0,33.144,35.156,0.567,0,10.138,57.504,100.0,100.0,0.0,43.396,52.733,0.62,0,0.034,0.131,100.0,100.0,0.0,30.996,30.996,0.339,0,
1,1,1,1,1,0,31,31,15,82.982233,83.436488,119.49922,12.8037,12.8654,1925909,98.5378,3,20.429,0.001,29.615,10.197,42.399,100.0,100.0,0.0,33.201,35.087,0.566,0,10.231,57.601,100.0,100.0,0.0,43.276,49.603,0.62,0,,,,,,,,,,
1,1,1,1,1,0,31,31,31,121.885065,122.570633,121.94466,12.4512,13.0388,2006023,97.9567,3,20.792,0.001,29.579,6.931,29.162,100.0,100.0,0.0,33.175,35.207,0.58,0,6.897,39.359,100.0,100.0,0.0,43.284,49.479,0.592,0,6.931,31.478,100.0,100.0,0.0,32.177,34.645,0.566,0,
