run_id,use_det,use_seg,use_pose,batch,threshold,timeout_ms,priority_det,priority_seg,priority_pose,det_latency_ms,seg_latency_ms,pose_latency_ms,cpu_percent,mem_percent,voluntary_ctx_switches,nonvoluntary_ctx_switches,npu_percent
2,1,1,1,1,1,0,0,0,15,125.902548,127.103283,78.446868,12.9979,13.0858,2295,415,93.1667
3,1,1,1,1,1,0,0,0,15,125.883024,126.998837,78.506757,13.1948,13.2287,2299,393,92.9683
1,1,1,1,1,1,0,0,0,31,126.032809,127.015996,78.633554,13.12,13.0335,2295,387,93.0283
2,1,1,1,1,1,0,0,0,31,125.944121,127.027289,78.524060,13.0484,13.0657,2295,406,93.2117
3,1,1,1,1,1,0,0,0,31,126.862227,126.980636,79.130184,13.2562,13.0037,2289,432,92.8483
1,1,1,1,1,1,0,0,15,0,126.617903,85.142237,127.137805,13.934,12.9598,2293,399,93.0608
2,1,1,1,1,1,0,0,15,0,126.985523,85.598789,126.745812,13.4005,13.2521,2293,429,92.7525
3,1,1,1,1,1,0,0,15,0,126.579530,85.262756,127.252381,14.0299,13.1049,2296,363,93.1817
1,1,1,1,1,1,0,0,15,15,131.801549,86.061967,85.865578,12.7886,13.0152,2295,453,86.9731
2,1,1,1,1,1,0,0,15,15,131.697528,86.373846,85.483949,13.927,12.9733,2295,405,87.0892
3,1,1,1,1,1,0,0,15,15,131.585009,86.203855,85.241270,12.9452,13.0118,2293,468,86.9431
1,1,1,1,1,1,0,0,15,31,131.687358,86.431083,85.437770,13.0851,13.1043,2293,410,87.0608
2,1,1,1,1,1,0,0,15,31,131.728723,86.392342,85.381085,12.9335,13.1234,2296,436,87.0900
3,1,1,1,1,1,0,0,15,31,131.574356,86.370814,85.274878,12.7237,13.1714,2301,464,87.0100
1,1,1,1,1,1,0,0,31,0,126.797309,85.178169,127.214466,13.2364,12.9816,2290,440,93.1508
2,1,1,1,1,1,0,0,31,0,126.997916,85.618648,126.778716,13.0159,13.2514,2292,439,93.0692
3,1,1,1,1,1,0,0,31,0,126.995880,85.492150,126.812109,13.3744,12.9754,2291,424,93.2292
