model_count,batch,model,own_pri,max_other_pri,advantage,latency,total_time,fps,hrtt_lat,npu
2.0,10.0,seg,0.0,0.0,0.0,1309.68,34.4312,17.464,278.131,95.5953
2.0,10.0,det,0.0,15.0,-15.0,1344.0,34.3834,6.71,252.444,96.5039
2.0,10.0,seg,15.0,0.0,15.0,810.173,18.795,26.407,250.083,96.5039
2.0,10.0,det,0.0,15.0,-15.0,1348.62,34.5229,6.553,250.629,96.7965
2.0,10.0,seg,15.0,0.0,15.0,814.686,18.8757,26.41,250.63,96.7965
2.0,10.0,det,0.0,15.0,-15.0,1360.24,34.8556,5.524,279.71,96.5559
2.0,10.0,seg,15.0,0.0,15.0,835.295,19.3313,26.554,262.742,96.5559
2.0,10.0,det,0.0,31.0,-31.0,1350.26,34.5662,6.296,259.397,96.5685
2.0,10.0,seg,31.0,0.0,31.0,817.416,18.9558,26.483,252.434,96.5685
2.0,10.0,det,0.0,31.0,-31.0,1358.32,34.792,5.592,273.514,96.4194
2.0,10.0,seg,31.0,0.0,31.0,829.531,19.3035,26.502,256.621,96.4194
2.0,10.0,det,0.0,31.0,-31.0,1347.77,34.4855,6.447,252.987,96.5318
2.0,10.0,seg,31.0,0.0,31.0,811.433,18.8734,26.455,249.021,96.5318
2.0,10.0,det,15.0,0.0,15.0,568.548,12.5833,26.893,159.534,95.5228
2.0,10.0,seg,0.0,15.0,-15.0,1274.27,32.5802,13.027,337.644,95.5228
2.0,10.0,det,15.0,0.0,15.0,568.13,12.5775,26.503,159.741,96.6706
2.0,10.0,seg,0.0,15.0,-15.0,1284.93,32.7332,13.153,344.885,96.6706
2.0,10.0,det,15.0,0.0,15.0,566.724,12.5375,26.378,159.435,96.9612
2.0,10.0,seg,0.0,15.0,-15.0,1277.21,32.5359,13.561,335.667,96.9612
2.0,10.0,det,15.0,15.0,0.0,1312.36,33.8673,18.235,188.538,95.6191
2.0,10.0,seg,15.0,15.0,0.0,1287.81,33.9329,18.078,271.597,95.6191
2.0,10.0,det,15.0,15.0,0.0,1325.24,34.217,17.774,193.098,95.3376
2.0,10.0,seg,15.0,15.0,0.0,1301.68,34.2641,17.774,277.384,95.3376
2.0,10.0,det,15.0,15.0,0.0,1316.69,33.9417,18.142,193.235,95.297
2.0,10.0,seg,15.0,15.0,0.0,1290.74,34.0079,17.826,273.135,95.297
2.0,10.0,det,15.0,31.0,-16.0,1344.48,34.3829,6.788,246.078,96.6833
2.0,10.0,seg,31.0,15.0,16.0,807.97,18.7504,26.405,248.857,96.6833
2.0,10.0,det,15.0,31.0,-16.0,1350.32,34.54,6.438,254.514,96.7297
2.0,10.0,seg,31.0,15.0,16.0,814.629,18.9027,26.418,251.006,96.7297
2.0,10.0,det,15.0,31.0,-16.0,1342.5,34.3464,6.787,245.827,96.4967
2.0,10.0,seg,31.0,15.0,16.0,811.084,18.8135,26.403,249.569,96.4967
2.0,10.0,det,31.0,0.0,31.0,566.958,12.536,26.439,159.272,96.6916
2.0,10.0,seg,0.0,31.0,-31.0,1295.45,32.7883,12.964,365.734,96.6916
2.0,10.0,det,31.0,0.0,31.0,567.494,12.566,26.501,159.429,96.5994
2.0,10.0,seg,0.0,31.0,-31.0,1296.26,32.9237,12.798,357.549,96.5994
2.0,10.0,det,31.0,0.0,31.0,568.381,12.574,26.39,159.278,96.9197
2.0,10.0,seg,0.0,31.0,-31.0,1285.09,32.5894,13.489,347.714,96.9197
2.0,10.0,det,31.0,15.0,16.0,566.225,12.5286,26.792,159.371,95.8088
2.0,10.0,seg,15.0,31.0,-16.0,1285.92,32.6728,12.938,355.393,95.8088
2.0,10.0,det,31.0,15.0,16.0,565.981,12.5214,26.375,159.376,97.0034
2.0,10.0,seg,15.0,31.0,-16.0,1277.07,32.6342,13.325,336.066,97.0034
2.0,10.0,det,31.0,15.0,16.0,569.112,12.6147,26.484,159.533,96.6628
2.0,10.0,seg,15.0,31.0,-16.0,1287.31,32.6881,13.143,352.988,96.6628
2.0,10.0,det,31.0,31.0,0.0,1325.38,34.1438,18.089,195.064,95.3579
2.0,10.0,seg,31.0,31.0,0.0,1298.81,34.1909,17.774,276.98,95.3579
2.0,10.0,det,31.0,31.0,0.0,1326.21,34.1862,18.051,195.138,95.5576
2.0,10.0,seg,31.0,31.0,0.0,1297.48,34.1114,17.777,274.32,95.5576
